"","Superficie","PrecAnual","PrecSeason","TempSeason","MaxTemp","MinTemp","slope_data","TempWettest","PrecWarmest","Municipios","Tipo.cultivo","Rol.New","Variedad","Incidencia","Parcela.catastral","Poligono.catatral","X","Y","Procedencia.planta","Diagnostico","Patotipo","Combinaciones","Diagnostico2","Isothermality"
"251",-0.347958820415289,-1.24388112954797,-2.71040483675955,-0.406023256969097,-1.88191016112648,-0.535520640718904,-1.085122015705,2.7358330503536,2.31523003061373,"Cullar","Irrigated","0","1",0,180,37,538830,4159227,"Estaca",0,"",1,0,1.41930283026261
"252",-0.29723731464711,-1.24388112954797,-2.71040483675955,-0.406023256969097,-1.88191016112648,-0.535520640718904,-0.408519069409181,2.7358330503536,2.31523003061373,"Cullar","Irrigated","0","1",0,174,37,538876,4159069,"Estaca",0,"",1,0,1.41930283026261
"253",-0.346983406842824,-1.60143894524681,-2.48177929023091,-0.570410582094193,-1.44106311101354,-0.0835792578696471,-1.22654448266,1.01840446792391,1.76187045071696,"Cullar","Irrigated","0,88","1",0,389,56,534090,4159837,"Estaca",0,"",1,0,0.173476303257206
"254",-0.338204684690639,-1.53275226504376,-2.3843323250692,-0.512793696482622,-1.32964893229413,0.00680901870020431,-0.357767389321814,1.18196909482197,1.62353055574277,"Cullar","Irrigated","0","1",0,613,56,533147,4159550,"Estaca",0,"",1,0,0.149484644863713
"255",-0.317720999668875,-1.5215541083495,-2.48177929023091,-0.551503421393996,-1.51012390937222,-0.0835792578696471,-1.3355481310236,3.2265269310478,1.76187045071696,"Cullar","Irrigated","0,53","1",0,241,56,535271,4159802,"Estaca",0,"",1,0,-0.70975425507473
"256",-0.344057166125429,-1.5215541083495,-2.48177929023091,-0.551503421393996,-1.51012390937222,-0.0835792578696471,-0.930370744776212,3.2265269310478,1.76187045071696,"Cullar","Irrigated","0,3","1",0,308,58,535058,4159888,"Estaca",0,"",1,0,-0.70975425507473
"257",-0.321622653958735,-1.6610135986975,-2.35626719728481,-0.522851741191148,-1.19361272530501,0.00680901870020431,1.32920246707339,1.26375140827101,1.62353055574277,"Cullar","Irrigated","0,64","1",0,506,56,531417,4159832,"Estaca",0,"",1,0,-0.264147971833914
"258",-0.344057166125429,-1.71060989904767,-2.25315374370227,-0.528686811524757,-1.1926856201083,0.0971972952700557,-0.70727867904072,1.26375140827101,1.62353055574277,"Cullar","Irrigated","0,26","1",0,313,58,531253,4160063,"Estaca",0,"",1,0,0.719326054202152
"259",-0.337229271118174,-1.71060989904767,-2.25315374370227,-0.528686811524757,-1.1926856201083,0.0971972952700557,-0.350028305104699,1.26375140827101,1.62353055574277,"Cullar","Irrigated","0,37","1",0,302,58,531093,4160037,"Estaca",0,"",1,0,0.719326054202152
"260",-0.32649972182106,-1.6610135986975,-2.35626719728481,-0.522851741191148,-1.19361272530501,0.00680901870020431,0.639333005003262,1.26375140827101,1.62353055574277,"Cullar","Irrigated","0,44","1",0,513,56,531651,4159747,"Estaca",0,"",1,0,-0.264147971833914
"261",-0.2835815246326,-1.6610135986975,-2.35626719728481,-0.522851741191148,-1.19361272530501,-0.173967534439498,-0.533225321175589,1.10018678137294,1.76187045071696,"Cullar","Irrigated","0,47","1",0,477,56,531817,4159956,"Estaca",0,"",1,0,-0.264147971833914
"262",-0.336253857545709,-1.71060989904767,-2.25315374370227,-0.528686811524757,-1.1926856201083,0.00680901870020431,0.0532192749863686,1.26375140827101,1.62353055574277,"Cullar","Irrigated","0","1",0,132,57,530974,4159705,"Estaca",0,"",1,0,0.719326054202152
"263",-0.339180098263104,-1.71060989904767,-2.25315374370227,-0.528686811524757,-1.1926856201083,0.187585571839907,-0.80101534347558,1.42731603516907,1.34685076579439,"Cullar","Irrigated","0","1",0,77,57,530729,4159781,"Estaca",0,"",1,0,0.719326054202152
"264",-0.244564981734001,-1.6610135986975,-2.35626719728481,-0.522851741191148,-1.19361272530501,0.0971972952700557,1.77627313719834,1.26375140827101,1.62353055574277,"Cullar","Irrigated","0,06","1",0,1199,56,531916,4159654,"Estaca",0,"",1,0,-0.264147971833914
"265",-0.335278443973244,-1.16726237125598,-2.71040483675955,-0.265088607708333,-1.79630419038349,-0.716297193858606,-1.2700250851754,2.65405073690457,2.31523003061373,"Cullar","Rainfed","0,83","1",0,203,3,539548,4167295,"Estaca",0,"",3,0,1.1635716581758
"266",-0.336253857545709,-0.730122110237713,-0.00465058599819729,0.715718916691112,1.71416144826739,-0.716297193858606,-0.650701669866791,-0.78080642795482,0.101791711026677,"Deifontes","Irrigated","0","1",0.357,314,2,448704,4133143,"Estaca",1,"ND",1,0,-0.793809048244251
"267",-0.0250969279293804,-0.0530454226626886,-0.290216239657339,0.92977071255717,1.01876990912327,-1.52979168298727,1.25985726531787,-1.51684724899612,0.79349118589763,"Deifontes","Irrigated","0,06","1",0.004,166,1,448474,4129521,"Vivero",1,"ND",2,0,-0.793809048244283
"268",-0.31674558609641,-0.694993867426038,-0.0347306893688307,0.753486261803042,1.69948766839135,-0.716297193858606,-0.892970968573529,-0.78080642795482,0.101791711026677,"Deifontes","Irrigated","0","1",0,333,2,448550,4132924,"Estaca",0,"",1,0,-0.793809048244267
