"","ET_resilienceWhiteEtal","PPTspring"
"265",0.0113636363636364,0.0128774818327256
"262",0.00543478260869565,0.255767447426612
"269",0.025,-0.171455328110354
"196",0.025,-0.220633627033696
"273",0.0104166666666667,-0.103409202427466
"150",0.015625,-0.443228175079116
"194",0.0113636363636364,0.0356831111095852
"151",0.015625,-0.318962286778555
"148",0.0138888888888889,-0.713134260686566
"146",0.0138888888888889,-0.713655085089621
"16",0.05,-1.00469336660401
"147",0.0220588235294118,-0.669081602680039
"149",0.015,-0.585330913024546
"272",0.03125,0.162970421809033
"268",0.0151515151515152,0.827977828367155
"267",0.0625,0.483614313786531
"46",0.03125,0.228542717974666
"161",0.00595238095238095,0.0458594066442984
"158",0.03125,0.0916710823832425
"200",0.00543478260869565,-0.472436407062072
"274",0.0625,-0.232593848249783
"29",0.0208333333333333,-0.559710382853461
"56",0.0625,-0.796260820901288
"15",0.015625,-0.546960548030781
"47",0.0144230769230769,-0.772975112222324
"160",0.00595238095238095,-0.13629681593847
"205",0.0192307692307692,0.0417412976694127
"199",0.0122663551401869,-0.157850304977748
"271",0.00543478260869565,-0.208310558799797
"14",0.00462962962962963,-0.94643000265364
"55",0.0177165354330709,-0.792205057328472
"223",0.016304347826087,0.150954783001151
"222",0.0166666666666667,-0.0892576856689004
"159",0.0357142857142857,0.256868202824396
"74",0.03125,-0.644129708763339
"203",0.00462962962962963,-0.0530275733699687
"48",0.03125,-0.832922373119897
"201",0.00416666666666667,-0.585257982056612
"202",0.0078125,-0.485310547161507
"57",0.03125,-0.988166682192544
"275",0.00462962962962963,-0.323556089272127
"139",0.0125,-0.863855815425417
"135",0.0113636363636364,-0.778116837156878
"256",0.0076530612244898,0.235466306195685
"188",0.0138888888888889,0.836776139266577
"193",0.0192307692307692,0.63932922654698
"78",0.01171875,-0.928233791495413
"187",0.0129310344827586,0.224879707911835
"60",0.0208333333333333,-1.05650820417399
"134",0.0625,-0.549002127721992
"136",0.125,-0.748076296650919
"137",0.125,-0.314605583083163
"226",0.0078125,-0.483884470226419
"261",0.00925925925925926,-0.212354132752007
"186",0.0144230769230769,0.782195948814451
"257",0.0113636363636364,0.552487968702624
"17",0.0625,-0.861278812096469
"133",0.0625,-0.799351458914348
"129",0.0170454545454545,-1.32525881449047
"132",0.0133928571428571,-0.303427678980756
"18",0.0625,-0.761177184722389
"127",0.0121951219512195,-0.0109268481192287
"258",0.0625,0.107465818738743
"178",0.0416666666666667,0.218236935229577
"76",0.0113636363636364,-0.665507599995575
"58",0.0120967741935484,-0.839498803304326
"130",0.0208333333333333,-0.362357033473268
"120",0.00625,0.400254718705002
"124",0.0152671755725191,0.477408124377663
"45",0.00568181818181818,0.157109674717633
"43",0.00595238095238095,-0.323055385377546
"69",0.00568181818181818,0.389628464623363
"121",0.0126953125,0.594269674253753
"162",0.00595238095238095,0.141021597937938
"44",0.00568181818181818,0.0918274913050669
"224",0.00625,0.569342003356808
"235",0.00625,0.58582615450711
"259",0.00625,0.636077907566572
"166",0.0115606936416185,1.33351089765309
"219",0.00833333333333333,1.17474660184171
"163",0.00961538461538462,1.26960980700357
"218",0.00595238095238095,0.727835432898518
"167",0.0113636363636364,1.39934430915265
"33",0.00568181818181818,-2.0610299232887
"7",0.03125,-1.69990480879516
"6",0.03125,-1.78279566533723
"32",0.00378787878787879,-2.01584885732822
"5",0.03125,-1.95698774226955
"4",0.03125,-1.64308577958522
"142",0.0416666666666667,-1.68288893360289
"34",0.05,-2.08004022809153
"35",0.0357142857142857,-1.98795552476801
"68",0.0078125,-2.14900760582876
"122",0.125,-1.0371122067993
"71",0.0625,-0.705683108261344
"79",0.0833333333333333,-1.89124941937418
"36",0.0833333333333333,-1.59223575621884
"116",0.0625,-0.789163149270439
"123",0.125,-1.37796558637374
"117",0.0625,-0.771158712311418
"67",0.0416666666666667,-1.31694086419177
"144",0.125,-1.26102426438838
"251",0.0227272727272727,-0.237393162921565
"172",0.00833333333333333,0.875898099813382
"174",0.0107758620689655,-0.0774154301270367
"264",0.0113636363636364,1.22289789357718
"253",0.0625,-0.268010615136964
"171",0.00520833333333333,1.05041262109132
"173",0.00833333333333333,1.13151967394059
"252",0.0185185185185185,-0.172564832181368
"220",0.0114285714285714,0.364979672119122
"249",0.00390625,0.0224116066578511
"229",0.00961538461538462,-0.061740664785877
"231",0.00942211055276382,0.320900571118026
"245",0.00892857142857143,0.597404356936606
"164",0.00939306358381503,1.04324281698794
"169",0.00759345794392523,1.35330391705133
"250",0.019578313253012,0.114583088962558
"254",0.0150862068965517,0.518453931779347
"243",0.00833333333333333,0.256878067869736
"176",0.00862068965517241,0.297057223838581
"217",0.025,0.392383811725016
"244",0.00862068965517241,0.260820725206525
"54",0.0164141414141414,1.44765387359985
"170",0.0108695652173913,1.30425008641843
"255",0.0148514851485149,1.49122568142119
"246",0.0137795275590551,-0.0960710494643003
"175",0.0152671755725191,0.0691972267256678
"165",0.01015625,0.129005089723692
"230",0.0110544217687075,0.369471147657138
"239",0.00961538461538462,0.312820441496483
"263",0.00833333333333333,0.186225523308633
"97",0.0227272727272727,0.0151519548405196
"131",0.0138888888888889,-0.297684820132074
"96",0.05,0.487833132621136
"90",0.0104166666666667,-0.529248254432068
"84",0.00543478260869565,-0.643571284165166
"99",0.0113636363636364,-0.319338195268542
"98",0.0833333333333333,-0.250437989225463
"95",0.025,-0.3832335106146
"100",0.046875,-0.212660567522805
"87",0.0625,-0.751917497253584
"85",0.0625,0.213913733293363
"101",0.0288461538461538,-0.298545791081081
"83",0.0288461538461538,-0.95961162651699
"81",0.005,3.3547011648505
"91",0.00806451612903226,4.09618688303944
"94",0.0288461538461538,-1.1274360986964
"93",0.00961538461538462,0.588391886797614
"88",0.00986842105263158,2.47915545495077
"92",0.025,2.92946513880562
"82",0.0625,2.40523446953767
"86",0.0177083333333333,1.54478100750044
"89",0.0833333333333333,-0.241129767418062
"65",0.00892857142857143,0.762197051272267
"182",0.0625,0.757119891986286
"181",0.0625,0.56084764235612
"183",0.0416666666666667,0.682856539780736
"70",0.0625,-1.43002629994252
"128",0.0208333333333333,-1.15789471851974
"179",0.0625,0.512265380452094
"185",0.015625,0.932489670039898
"80",0.0625,-1.61516662348247
"63",0.015,0.442441410041971
"103",0.0625,0.37677907054595
"66",0.00892857142857143,1.28415378819451
"180",0.0172018348623853,0.354063900284396
"184",0.0147058823529412,1.16027447436988
"107",0.0164473684210526,1.1153512314101
"2",0.00862068965517241,1.3804491175561
"189",0.0121951219512195,1.06965650169473
"140",0.03125,-0.153996951160869
"28",0.0833333333333333,-0.51079660244658
"155",0.015625,-0.162479744981571
"157",0.025,-0.606586516002791
"156",0.0227272727272727,-1.72461888176302
"141",0.0625,-1.59271488796801
"145",0.0625,-1.28129917997633
"72",0.0625,-1.32669919886573
"153",0.125,-1.12142745770345
"64",0.0625,-0.256154616182307
"73",0.0375,-0.286085869591385
