"asi","county","state","X","Y","year","index"
19.3125,"Lander","Nevada",-117.301,40.175,1989,173
16.9375,"Lander","Nevada",-116.989,39.507,1989,174
15.4375,"Lander","Nevada",-116.951,39.912,1989,175
10.875,"Lander","Nevada",-116.864,40.969,1989,176
6.1875,"Lander","Nevada",-117.205,40.165,1989,177
27.8125,"Lander","Nevada",-117.171,40.642,1989,178
18.8125,"Lander","Nevada",-117.666,39.154,1989,180
17.5625,"Lander","Nevada",-117.102,39.8,1989,181
14.5625,"Lander","Nevada",-117.302,39.92,1989,182
25.6875,"Lander","Nevada",-117.411,39.689,1989,183
27,"Lander","Nevada",-116.766,39.637,1989,184
11.875,"Eureka","Nevada",-116.135,40.332,1989,185
14.5,"Eureka","Nevada",-115.956,40.124,1989,186
17,"Eureka","Nevada",-116.219,40.837,1989,187
20.5,"Eureka","Nevada",-116.128,39.233,1989,188
21.625,"Eureka","Nevada",-116.166,39.367,1989,190
40.875,"Eureka","Nevada",-116.528,40.299,1989,191
18.4375,"Eureka","Nevada",-116.534,40.219,1989,192
12.9375,"Eureka","Nevada",-116.477,40.421,1989,193
22.6875,"Eureka","Nevada",-115.986,39.866,1989,196
17.9375,"Eureka","Nevada",-116.454,40.93,1989,197
13.75,"Eureka","Nevada",-116.515,40.115,1989,198
16.6875,"Eureka","Nevada",-116.405,40.178,1989,199
14.5625,"Eureka","Nevada",-115.887,40.076,1989,201
14.4375,"Eureka","Nevada",-116.06,39.773,1989,202
23.125,"Eureka","Nevada",-116.323,39.423,1989,203
14.4375,"Eureka","Nevada",-116.223,39.185,1989,205
13.8125,"Eureka","Nevada",-116.253,40.011,1989,207
13.75,"Eureka","Nevada",-116.307,39.194,1989,208
9.0625,"Eureka","Nevada",-116.384,40.441,1989,209
11.625,"Eureka","Nevada",-116.283,40.831,1989,210
1.9375,"Eureka","Nevada",-115.941,39.951,1989,211
12.0625,"Eureka","Nevada",-116.037,39.241,1989,212
13.75,"Eureka","Nevada",-116.046,39.94,1989,213
13.875,"Eureka","Nevada",-116.179,40.295,1989,214
5.375,"Eureka","Nevada",-116.361,40.654,1989,215
6.8125,"Eureka","Nevada",-116.484,39.555,1989,217
10.6875,"Eureka","Nevada",-116.232,39.396,1989,218
17.625,"Eureka","Nevada",-116.454,40.269,1989,219
16.375,"Eureka","Nevada",-116.216,40.533,1989,220
9.6875,"Eureka","Nevada",-115.98,39.286,1989,221
23,"Eureka","Nevada",-116.368,39.24,1989,222
11.75,"Eureka","Nevada",-116.103,39.9,1989,223
12.125,"Eureka","Nevada",-116.317,39.214,1989,224
19.5,"Eureka","Nevada",-115.995,39.569,1989,225
23.75,"Eureka","Nevada",-116.32,39.348,1989,226
30.75,"Eureka","Nevada",-116.368,40.107,1989,227
24.3125,"Eureka","Nevada",-115.975,39.854,1989,229
11.875,"Eureka","Nevada",-116.099,40.273,1989,230
12,"Eureka","Nevada",-116.264,40.488,1989,231
10.125,"Eureka","Nevada",-116.062,39.614,1989,233
22.0625,"Eureka","Nevada",-116.364,39.717,1989,234
16,"Eureka","Nevada",-116.222,40.463,1989,235
23.9375,"Eureka","Nevada",-116.413,40.272,1989,236
30,"Eureka","Nevada",-116.561,39.185,1989,238
12.8125,"Eureka","Nevada",-116.096,39.886,1989,240
24.8125,"Eureka","Nevada",-116.066,39.736,1989,242
17.6875,"Eureka","Nevada",-116.336,40.751,1989,243
3.5625,"Eureka","Nevada",-116.386,40.441,1989,244
20.75,"Eureka","Nevada",-116.496,39.27,1989,245
21.0625,"Eureka","Nevada",-116.317,39.563,1989,246
23.125,"Eureka","Nevada",-116.34,40.253,1989,247
10.1875,"Eureka","Nevada",-116.117,40.373,1989,248
11,"Eureka","Nevada",-116.587,40.842,1989,249
12.125,"Eureka","Nevada",-116.316,40.999,1989,250
24.4375,"Eureka","Nevada",-116.475,39.401,1989,252
5.75,"Eureka","Nevada",-116.392,40.703,1989,253
25.9375,"Eureka","Nevada",-116.361,39.447,1989,254
16.25,"Eureka","Nevada",-116.444,40.172,1989,255
17.375,"Eureka","Nevada",-115.885,39.932,1989,256
17.875,"Eureka","Nevada",-116.094,39.606,1989,257
11.75,"Eureka","Nevada",-115.972,39.199,1989,258
12.75,"Eureka","Nevada",-116.232,40.921,1989,259
13.375,"Eureka","Nevada",-116.398,39.841,1989,260
20.625,"Eureka","Nevada",-115.932,39.676,1989,261
4.375,"Eureka","Nevada",-116.124,40.245,1989,262
11.8125,"Eureka","Nevada",-116.205,39.349,1989,264
17.3125,"Eureka","Nevada",-116.196,40.662,1989,265
13.375,"Eureka","Nevada",-116.243,39.332,1989,266
26.4375,"Eureka","Nevada",-116.514,40.221,1989,267
23.375,"Eureka","Nevada",-116.356,39.375,1989,268
12.25,"Eureka","Nevada",-116.415,40.513,1989,269
23.5625,"Eureka","Nevada",-116.493,39.466,1989,270
17.375,"Eureka","Nevada",-116.244,39.588,1989,271
24.75,"Eureka","Nevada",-116.506,39.284,1989,272
16.25,"Eureka","Nevada",-116.343,40.563,1989,273
11.375,"Eureka","Nevada",-116.255,40.309,1989,276
23.0625,"Eureka","Nevada",-116.579,39.669,1989,277
19.625,"Eureka","Nevada",-116.152,40.452,1989,278
21.3125,"Eureka","Nevada",-116.479,39.809,1989,279
10.8125,"Eureka","Nevada",-116.327,40.496,1989,281
17.5625,"Eureka","Nevada",-116.162,40.581,1989,282
33,"Eureka","Nevada",-116.336,39.872,1989,283
15.9375,"Eureka","Nevada",-116.115,39.475,1989,284
28.875,"Eureka","Nevada",-116.502,39.484,1989,285
32,"Eureka","Nevada",-115.878,39.703,1989,286
30.1875,"Eureka","Nevada",-115.82,39.764,1989,287
16.1875,"Eureka","Nevada",-116.425,39.993,1989,288
14.3125,"Eureka","Nevada",-116.386,40.19,1989,289
14.875,"Eureka","Nevada",-116.019,40.1,1989,290
16.875,"Eureka","Nevada",-116.472,39.803,1989,291
10.75,"Eureka","Nevada",-116.251,40.713,1989,292
18.9375,"Eureka","Nevada",-116.022,39.756,1989,294
